ppi;epsilon;from;to;x;y;stepsize;sampledvalue;n;mean;stddev;rmse;truevalue;functionset
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;40.0;0.005283382707810394;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;41.0;0.005025709092567506;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;42.0;0.00454744963911863;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;43.0;0.004325667903164791;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;44.0;0.003914026176780654;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;45.0;0.0037231368676197913;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;46.0;0.0033688335502915813;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;47.0;0.0032045335992825583;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;48.0;0.002899581907984311;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;49.0;0.002758167629624598;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;50.0;0.0024956932764998835;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;51.0;0.0023739768791352866;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;52.0;0.0021480631097938376;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;53.0;0.0020433008357204066;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;55.00000000000001;0.0017586853275405405;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;54.0;0.0018488550524639706;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;56.00000000000001;0.0015913242909095084;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;59.0;0.0013028661350876272;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;60.0;0.0011788820297191783;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;61.0;0.001121387274684008;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;62.0;0.001014673166243459;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;63.0;9.651869719820829E-4;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;64.0;8.733372876502137E-4;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
ReturnedIn28Days;0.1;2013-11-01T00:00:00.000Z;2014-02-28T23:59:59.999Z;65.0;8.307441255265277E-4;1.0;10.0;150;17.45665107443285;13.651965787336497;15.247296747827596;10.666666666666668;[Standard, Sum_lap, Sum_exp]
